Y,X,OBJECTID_1,NAME,iso3,Countryeng,Shape_Leng,Shape_Area,Pop,GDP,ORIG_FID,nearest_road,nearest_sea,nearest_any,ln FMA,ln CMA,ln MA
11.854687199854801,3.3897463227046205,154,Malanville,BEN,Benin,0.30638637063,0.00706420157,118498.404898,66.0660425753,98,"(3.3929039, 11.8634933, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(3.3929039, 11.8634933, 115.0)",39.89831581310462,39.898315981901966,39.898315922822896
11.1283554937778,2.9326786644677103,198,Kandi,BEN,Benin,0.33826711711999996,0.008285056640000002,131254.394772,137.998082566,130,"(2.9353948, 11.1331041, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.9353948, 11.1331041, 115.0)",54.04117680740723,54.04117680740735,54.04117680740731
9.35191155236099,2.63319188747961,245,Parakou,BEN,Benin,0.46443352003999994,0.01566483564,273781.223848,631.033681285,161,"(2.6244425, 9.3552452, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.6244425, 9.3552452, 115.0)",39.13804570852835,39.13804609695093,39.13804596100303
7.183937802988219,2.03666270083171,331,Abomey,BEN,Benin,0.51563807897,0.017162876530000003,306610.998097,610.805458123,229,"(2.0304309, 7.1667082, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.0304309, 7.1667082, 115.0)",50.648482787803914,50.64848278780816,50.64848278780667
6.6424223284919215,1.72414012598753,369,Lokossa,BEN,Benin,0.29418953446999996,0.0064942071499999995,93858.4686425,142.479033233,258,"(1.7118772, 6.6413677, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(1.7118772, 6.6413677, 115.0)",44.67066771606169,44.67066771773835,44.67066771715152
6.49916124578599,2.63478512204466,381,PortoNovo,BEN,Benin,0.52027795822,0.017807167290000002,636457.9556560001,1497.99376214,265,"(2.6407072, 6.4987618, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.6407072, 6.4987618, 115.0)",48.159943006483225,48.1599430065376,48.159943006518574
6.38774714283404,2.4296301105319,388,Cotonou,BEN,Benin,0.86865835515,0.031520501789999995,1596373.14947,3582.87367654,270,"(2.4243173, 6.3833192, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.4243173, 6.3833192, 115.0)",46.23868011090296,46.23868011126743,46.238680111139864
6.36298174927825,2.08700837469066,398,Ouidah,BEN,Benin,0.32858688977,0.00784196425,128299.873774,242.478437833,277,"(2.0879063, 6.3745647, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.0879063, 6.3745647, 115.0)",47.38480696411256,47.384806964227025,47.384806964186964
11.2999997423185,2.43333324071986,527,Banikoara,BEN,Benin,0.28958775061,0.006622326139999999,84589.1931953,55.7735343184,342,"(2.9150912, 11.1331906, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.9150912, 11.1331906, 115.0)",54.94711693313127,54.94711693313131,54.9471169331313
10.616666768746901,1.2666665508642,558,Tanguieta,BEN,Benin,0.28456395875999996,0.0063963173800000005,71611.061121,39.9661450868,351,"(1.2692457, 10.6225527, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(1.2692457, 10.6225527, 115.0)",51.05609416357874,51.056094163581186,51.056094163580326
10.3166671880998,1.36666639494107,592,Natitingou,BEN,Benin,0.34525713146,0.00940007017,103384.034474,179.79291069599998,359,"(1.3667634, 10.3278666, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(1.3667634, 10.3278666, 115.0)",42.685312824366314,42.685312835010215,42.68531283128485
9.933333946002518,3.1999998989960003,654,Nikki,BEN,Benin,0.3136364459,0.00776401766,88653.12910650003,50.7770764002,378,"(3.2067928, 9.9365012, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(3.2067928, 9.9365012, 115.0)",40.61764142080007,40.61764151139203,40.61764147968484
9.700000600477713,1.6666665577387398,688,Djougou,BEN,Benin,0.3381266717,0.00901825486,135211.75495499998,166.91104082799998,389,"(1.6653166, 9.6994417, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(1.6653166, 9.6994417, 115.0)",41.13751058606783,41.13751063776817,41.13751061967305
8.03333379253793,2.48333314020246,763,Save,BEN,Benin,0.33295731367,0.008747712440000001,51740.2277335,10.3102425345,412,"(2.4916664, 8.038795, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.4916664, 8.038795, 115.0)",41.80831220821083,41.80831223587914,41.808312226195234
7.933334019947518,1.9666664981042599,780,Savalou,BEN,Benin,0.30191232395,0.007198789109999998,63209.27133080001,62.6362195779,415,"(1.9755461, 7.9279059, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(1.9755461, 7.9279059, 115.0)",44.12083368296623,44.1208336857444,44.12083368477204
7.75000060731336,2.18333325451883,791,DassaZoume,BEN,Benin,0.28809277785,0.00655777635,64055.4165852,28.4517552527,419,"(2.1830687, 7.7809977, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.1830687, 7.7809977, 115.0)",44.95354546335453,44.953545464579285,44.95354546415062
7.35900086946438,2.62099991371653,806,Ketou,BEN,Benin,0.28768734312,0.00653969795,95203.1916461,44.9626570058,425,"(2.6107433, 7.3667457, 115.0)","(-193587.35668403114, 549133.2415424598, 500.0)","(2.6107433, 7.3667457, 115.0)",43.97677849400525,43.97677849745495,43.97677849624756
